,PhoneNumber-SubscriberIdentityNumber,Duration,Activity,ErrorCode
0,1888777222-345278666547334,0.0,SMS-,Y
1,1122765445-345278676547335,10.0,Internet Data-,
2,1356753668-345278686547336,1.0,Phone Call-111,
3,1590741891-345278696547337,2.0,Phone Call-111,
4,1824730114-345278706547338,3.0,Phone Call-111,
5,1058718337-345278716547339,4.0,Phone Call-111,
6,1292706560-345278726547340,5.0,Phone Call-,
7,1526694783-345278736547341,12.0,Phone Call-,
8,1526694784-345278746547342,11.0,Phone Call-,
9,1526694785-345278756547343,10.0,Phone Call-,
10,1526694786-345278766547344,2.0,Phone Call-,
11,1526694787-345278776547345,22.0,Phone Call-,
12,1526694788-345278786547346,25.0,Phone Call-,
13,1526694789-345278796547347,1.0,Phone Call-,
14,1526694790-345278806547348,3.0,Phone Call-,
15,1526694791-345278816547349,4.0,Phone Call-,
16,1526694792-345278826547350,5.0,Phone Call-,
17,1526694793-345278836547351,8.0,Phone Call-,
18,1526694794-345278846547352,7.0,Phone Call-,Y
19,1526694795-345278856547353,9.0,Phone Call-,
20,1526694796-345278866547354,10.0,Phone Call-,
21,1526694797-345278876547355,11.0,Phone Call-,
22,1526694798-345278886547356,3.0,Phone Call-111,
23,1526694799-345278896547357,3.0,Phone Call-111,
24,1526694800-345278906547358,3.0,Phone Call-111,
25,1526694801-345278916547359,3.0,Phone Call-111,
26,1526694802-345278926547360,3.6,Phone Call-,
27,1526694803-345278936547361,3.5,Phone Call-,
28,1526694804-345278946547362,3.2,Phone Call-,
29,1526694805-345278956547363,3.1,Phone Call-,
30,1526694806-345278966547364,4.2,Phone Call-,
31,1526694807-345278976547365,4.3,Phone Call-,
32,1526694808-345278986547366,4.5,Phone Call-,
33,1526694809-345278996547367,2.0,Phone Call-,
34,1526694810-345279006547368,3.0,Phone Call-,
35,1526694811-345279016547369,10.0,Internet Data-,
36,1526694812-345279026547370,15.0,Internet Data-,
37,1526694813-345279036547371,15.0,Internet Data-,
38,1526694814-345279046547372,18.0,Internet Data-,
39,1526694815-345279056547373,1.0,Internet Data-222,
40,1526694816-345279066547374,13.0,Internet Data-,
41,1526694817-345279076547375,11.0,Internet Data-,
42,1526694818-345279086547376,1.0,Internet Data-222,
43,1526694819-345279096547377,15.0,Internet Data-,
44,1526694820-345279106547378,55.0,Internet Data-,
45,1526694821-345279116547379,120.0,Internet Data-,
46,1526694822-345279126547380,14.0,Internet Data-,
47,1526694823-345279136547381,13.0,Internet Data-222,
48,1526694824-345279146547382,10.0,Internet Data-,
49,1526694825-345279156547383,14.0,Internet Data-,
50,1526694826-345279166547384,13.0,Internet Data-,
51,1526694827-345279176547385,10.0,Internet Data-,
52,1526694828-345279186547386,14.0,Internet Data-,
53,1526694829-345279196547387,13.0,Internet Data-,
54,1526694830-345279206547388,10.0,Internet Data-,
55,1526694831-345279216547389,14.0,Internet Data-,
56,1526694832-345279226547390,13.0,Internet Data-,
57,1526694833-345279236547391,10.0,Internet Data-,Y
58,1526694834-345279246547392,14.0,Internet Data-,
59,1526694835-345279256547393,13.0,Internet Data-,
60,1526694836-345279266547394,10.0,Internet Data-,
61,1526694837-345279276547395,14.0,Internet Data-,
62,1526694838-345279286547396,13.0,Internet Data-,
63,1526694839-345279296547397,10.0,Internet Data-,
64,1526694840-345279306547398,14.0,Internet Data-,
65,1526694841-345279316547399,13.0,Internet Data-,
66,1526694842-345279326547400,10.0,Internet Data-,
67,1526694843-345279336547401,14.0,Internet Data-,
68,1526694844-345279346547402,13.0,Internet Data-,
69,1526694845-345279356547403,1.0,SMS-,
70,1526694846-345279366547404,1.0,SMS-,
71,1526694847-345279376547405,1.0,SMS-,
72,1526694848-345279386547406,1.0,SMS-,
73,1526694849-345279396547407,1.0,SMS-,
74,1526694850-345279406547408,1.0,SMS-,
75,1526694851-345279416547409,1.0,SMS-,
76,1526694852-345279426547410,1.0,SMS-,
77,1526694853-345279436547411,1.0,SMS-,
78,1526694854-345279446547412,1.0,SMS-,
79,1526694855-345279456547413,1.0,SMS-,
80,1526694856-345279466547414,1.0,SMS-,
81,1526694857-345279476547415,1.0,SMS-,
82,1526694858-345279486547416,1.0,SMS-,
83,1526694859-345279496547417,1.0,SMS-,
84,1526694860-345279506547418,1.0,SMS-,
85,1526694861-345279516547419,1.0,SMS-,
86,1526694862-345279526547420,1.0,SMS-,Y
87,1526694863-345279536547421,1.0,SMS-,
88,1526694864-345279546547422,1.0,SMS-,
89,1526694865-345279556547423,1.0,SMS-,
90,1526694866-345279566547424,1.0,SMS-,
91,1526694867-345279576547425,1.0,SMS-,
92,1526694868-345279586547426,1.0,SMS-,
93,1526694869-345279596547427,1.0,SMS-,
94,1526694870-345279606547428,1.0,SMS-,
95,1526694871-345279616547429,1.0,SMS-,
96,1526694872-345279626547430,1.0,SMS-,
97,1526694873-345279636547431,1.0,SMS-,
98,1526694874-345279646547432,1.0,SMS-,
99,1526694875-345279656547433,2.0,Phone Call-,
100,1526694876-345279666547434,0.0,SMS-,
101,1526694877-345279676547435,10.0,Internet Data-,
102,1526694878-345279686547436,1.0,Phone Call-111,
103,1526694879-345279696547437,2.0,Phone Call-111,
104,1526694880-345279706547438,3.0,Phone Call-111,
105,1526694881-345279716547439,4.0,Phone Call-111,
106,1526694882-345279726547440,5.0,Phone Call-111,
107,1526694883-345279736547441,12.0,Phone Call-,
108,1526694884-345279746547442,11.0,Phone Call-,
109,1526694885-345279756547443,10.0,Phone Call-,
110,1526694886-345279766547444,2.0,Phone Call-,Y
111,1526694887-345279776547445,22.0,Phone Call-,
112,1526694888-345279786547446,25.0,Phone Call-,
113,1526694889-345279796547447,1.0,Phone Call-,
114,1526694890-345279806547448,3.0,Phone Call-,
115,1526694891-345279816547449,4.0,Phone Call-,
116,1526694892-345279826547450,5.0,Phone Call-,
117,1526694893-345279836547451,8.0,Phone Call-,
118,1526694894-345279846547452,7.0,Phone Call-,
119,1526694895-345279856547453,9.0,Phone Call-,
120,1526694896-345279866547454,10.0,Phone Call-,
121,1526694897-345279876547455,11.0,Phone Call-,
122,1526694898-345279886547456,3.0,Phone Call-111,
123,1526694899-345279896547457,3.0,Phone Call-,
124,1526694900-345279906547458,3.0,Phone Call-111,
125,1526694901-345279916547459,3.0,Phone Call-,
126,1526694902-345279926547460,3.6,Phone Call-,
127,1526694903-345279936547461,3.5,Phone Call-,
128,1526694904-345279946547462,3.2,Phone Call-,
129,1526694905-345279956547463,3.1,Phone Call-,
130,1526694906-345279966547464,4.2,Phone Call-,
131,1526694907-345279976547465,4.3,Phone Call-,
132,1526694908-345279986547466,4.5,Phone Call-,
133,1526694909-345279996547467,2.0,Phone Call-,
134,1526694910-345280006547468,3.0,Phone Call-,
135,1526694911-345280016547469,10.0,Internet Data-,
136,1526694912-345280026547470,15.0,Internet Data-,Y
137,1526694913-345280036547471,15.0,Internet Data-,
138,1526694914-345280046547472,18.0,Internet Data-,
139,1526694915-345280056547473,1.0,Internet Data-,
140,1526694916-345280066547474,13.0,Internet Data-,
141,1526694917-345280076547475,11.0,Internet Data-,
142,1526694918-345280086547476,1.0,Internet Data-,
143,1526694919-345280096547477,15.0,Internet Data-,
144,1526694920-345280106547478,55.0,Internet Data-,
145,1526694921-345280116547479,120.0,Internet Data-,
146,1526694922-345280126547480,14.0,Internet Data-,
147,1526694923-345280136547481,13.0,Internet Data-,
148,1526694924-345280146547482,10.0,Internet Data-,
149,1526694925-345280156547483,14.0,Internet Data-,
150,1526694926-345280166547484,13.0,Internet Data-,
151,1526694927-345280176547485,10.0,Internet Data-,
152,1526694928-345280186547486,14.0,Internet Data-,
153,1526694929-345280196547487,13.0,Internet Data-,
154,1526694930-345280206547488,10.0,Internet Data-,
155,1526694931-345280216547489,14.0,Internet Data-,
156,1526694932-345280226547490,13.0,Internet Data-,
157,1526694933-345280236547491,10.0,Internet Data-,
158,1526694934-345280246547492,14.0,Internet Data-,
159,1526694935-345280256547493,13.0,Internet Data-,
160,1526694936-345280266547494,10.0,Internet Data-,
161,1526694937-345280276547495,14.0,Internet Data-222,
162,1526694938-345280286547496,13.0,Internet Data-,
163,1526694939-345280296547497,10.0,Internet Data-,
164,1526694940-345280306547498,14.0,Internet Data-,
165,1526694941-345280316547499,13.0,Internet Data-,
166,1526694942-345280326547500,10.0,Internet Data-,
167,1526694943-345280336547501,14.0,Internet Data-,
168,1526694944-345280346547502,13.0,Internet Data-,
169,1526694945-345280356547503,1.0,SMS-,
170,1526694946-345280366547504,1.0,SMS-,
171,1526694947-345280376547505,1.0,SMS-,
172,1526694948-345280386547506,1.0,SMS-,
173,1526694949-345280396547507,1.0,SMS-,
174,1526694950-345280406547508,1.0,SMS-,
175,1526694951-345280416547509,1.0,SMS-,
176,1526694952-345280426547510,1.0,SMS-,
177,1526694953-345280436547511,1.0,SMS-,
178,1526694954-345280446547512,1.0,SMS-,
179,1526694955-345280456547513,1.0,SMS-,
180,1526694956-345280466547514,1.0,SMS-,
181,1526694957-345280476547515,1.0,SMS-,
182,1526694958-345280486547516,1.0,SMS-,
183,1526694959-345280496547517,1.0,SMS-,
184,1526694960-345280506547518,1.0,SMS-,
185,1526694961-345280516547519,1.0,SMS-,
186,1526694962-345280526547520,1.0,SMS-,
187,1526694963-345280536547521,1.0,SMS-,
188,1526694964-345280546547522,1.0,SMS-,
189,1526694965-345280556547523,1.0,SMS-,
190,1526694966-345280566547524,1.0,SMS-,
191,1526694967-345280576547525,1.0,SMS-,Y
192,1526694968-345280586547526,1.0,SMS-,
193,1526694969-345280596547527,1.0,SMS-,
194,1526694970-345280606547528,1.0,SMS-,
195,1526694971-345280616547529,1.0,SMS-,
196,1526694972-345280626547530,1.0,SMS-,
197,1526694973-345280636547531,1.0,SMS-,
198,1526694974-345280646547532,1.0,SMS-,
199,1526694975-345280656547533,2.0,Phone Call-,
200,1526694976-345280666547534,0.0,SMS-,
201,1526694977-345280676547535,10.0,Internet Data-,
202,1526694978-345280686547536,1.0,Phone Call-111,
203,1526694979-345280696547537,2.0,Phone Call-,
204,1526694980-345280706547538,3.0,Phone Call-,
205,1526694981-345280716547539,4.0,Phone Call-111,
206,1526694982-345280726547540,5.0,Phone Call-,
207,1526694983-345280736547541,12.0,Phone Call-,
208,1526694984-345280746547542,11.0,Phone Call-,
209,1526694985-345280756547543,10.0,Phone Call-,
210,1526694986-345280766547544,2.0,Phone Call-,
211,1526694987-345280776547545,22.0,Phone Call-,
212,1526694988-345280786547546,25.0,Phone Call-,
213,1526694989-345280796547547,1.0,Phone Call-,
214,1526694990-345280806547548,3.0,Phone Call-,
215,1526694991-345280816547549,4.0,Phone Call-,
216,1526694992-345280826547550,5.0,Phone Call-,
217,1526694993-345280836547551,8.0,Phone Call-,
218,1526694994-345280846547552,7.0,Phone Call-,
219,1526694995-345280856547553,9.0,Phone Call-,
220,1526694996-345280866547554,10.0,Phone Call-,
221,1526694997-345280876547555,11.0,Phone Call-,
222,1526694998-345280886547556,3.0,Phone Call-,
223,1526694999-345280896547557,3.0,Phone Call-,Y
224,1526695000-345280906547558,3.0,Phone Call-,
225,1526695001-345280916547559,3.0,Phone Call-,
226,1526695002-345280926547560,3.6,Phone Call-,
227,1526695003-345280936547561,3.5,Phone Call-,
228,1526695004-345280946547562,3.2,Phone Call-,
229,1526695005-345280956547563,3.1,Phone Call-,
230,1526695006-345280966547564,4.2,Phone Call-,
231,1526695007-345280976547565,4.3,Phone Call-,
232,1526695008-345280986547566,4.5,Phone Call-,
233,1526695009-345280996547567,2.0,Phone Call-,
234,1526695010-345281006547568,3.0,Phone Call-,
235,1526695011-345281016547569,10.0,Internet Data-,
236,1526695012-345281026547570,15.0,Internet Data-,
237,1526695013-345281036547571,15.0,Internet Data-,
238,1526695014-345281046547572,18.0,Internet Data-,
239,1526695015-345281056547573,1.0,Internet Data-222,
240,1526695016-345281066547574,13.0,Internet Data-,
241,1526695017-345281076547575,11.0,Internet Data-,
242,1526695018-345281086547576,1.0,Internet Data-222,
243,1526695019-345281096547577,15.0,Internet Data-,
244,1526695020-345281106547578,55.0,Internet Data-,
245,1526695021-345281116547579,120.0,Internet Data-,
246,1526695022-345281126547580,14.0,Internet Data-,
247,1526695023-345281136547581,13.0,Internet Data-,
248,1526695024-345281146547582,10.0,Internet Data-,
249,1526695025-345281156547583,14.0,Internet Data-,
250,1526695026-345281166547584,13.0,Internet Data-,
251,1526695027-345281176547585,10.0,Internet Data-,
252,1526695028-345281186547586,14.0,Internet Data-,
253,1526695029-345281196547587,13.0,Internet Data-,
254,1526695030-345281206547588,10.0,Internet Data-,
255,1526695031-345281216547589,14.0,Internet Data-,
256,1526695032-345281226547590,13.0,Internet Data-,
257,1526695033-345281236547591,10.0,Internet Data-,
258,1526695034-345281246547592,14.0,Internet Data-,
259,1526695035-345281256547593,13.0,Internet Data-,
260,1526695036-345281266547594,10.0,Internet Data-,
261,1526695037-345281276547595,14.0,Internet Data-,
262,1526695038-345281286547596,13.0,Internet Data-,
263,1526695039-345281296547597,10.0,Internet Data-,
264,1526695040-345281306547598,14.0,Internet Data-,
265,1526695041-345281316547599,13.0,Internet Data-,
266,1526695042-345281326547600,10.0,Internet Data-,Y
267,1526695043-345281336547601,14.0,Internet Data-,
268,1526695044-345281346547602,13.0,Internet Data-,
269,1526695045-345281356547603,1.0,SMS-,
270,1526695046-345281366547604,1.0,SMS-,
271,1526695047-345281376547605,1.0,SMS-,
272,1526695048-345281386547606,1.0,SMS-,
273,1526695049-345281396547607,1.0,SMS-,
274,1526695050-345281406547608,1.0,SMS-,
275,1526695051-345281416547609,1.0,SMS-,
276,1526695052-345281426547610,1.0,SMS-,
277,1526695053-345281436547611,1.0,SMS-,
278,1526695054-345281446547612,1.0,SMS-,
279,1526695055-345281456547613,1.0,SMS-,
280,1526695056-345281466547614,1.0,SMS-,N
281,1526695057-345281476547615,1.0,SMS-,
282,1526695058-345281486547616,1.0,SMS-,
283,1526695059-345281496547617,1.0,SMS-,
284,1526695060-345281506547618,1.0,SMS-,
285,1526695061-345281516547619,1.0,SMS-,
286,1526695062-345281526547620,1.0,SMS-,
287,1526695063-345281536547621,1.0,SMS-,
288,1526695064-345281546547622,1.0,SMS-,
289,1526695065-345281556547623,1.0,SMS-,
290,1526695066-345281566547624,1.0,SMS-,
291,1526695067-345281576547625,1.0,SMS-,
292,1526695068-345281586547626,1.0,SMS-,
293,1526695069-345281596547627,1.0,SMS-,
294,1526695070-345281606547628,1.0,SMS-,
295,1526695071-345281616547629,1.0,SMS-,
296,1526695072-345281626547630,1.0,SMS-,
297,1526695073-345281636547631,1.0,SMS-,
298,1526695074-345281646547632,1.0,SMS-,
299,1526695075-345281656547633,2.0,Phone Call-,
300,1526695076-345281666547634,0.0,Internet Data-222,
301,1526695077-345281676547635,0.0,SMS-,
302,1526695078-345281686547636,1.0,Phone Call-,N
303,1526695079-345281696547637,2.0,Phone Call-,
304,1526695080-345281706547638,3.0,Phone Call-,
305,1526695081-345281716547639,4.0,Phone Call-,
306,1526695082-345281726547640,5.0,Phone Call-,
307,1526695083-345281736547641,12.0,Phone Call-,
308,1526695084-345281746547642,11.0,Phone Call-,
309,1526695085-345281756547643,10.0,Phone Call-,
310,1526695086-345281766547644,2.0,Phone Call-,
311,1526695087-345281776547645,22.0,Phone Call-,
312,1526695088-345281786547646,25.0,Phone Call-,
313,1526695089-345281796547647,1.0,Phone Call-111,
314,1526695090-345281806547648,3.0,Phone Call-,
315,1526695091-345281816547649,4.0,Phone Call-111,
316,1526695092-345281826547650,5.0,Phone Call-111,
317,1526695093-345281836547651,8.0,Phone Call-111,
318,1526695094-345281846547652,7.0,Phone Call-111,
319,1526695095-345281856547653,9.0,Phone Call-,
320,1526695096-345281866547654,10.0,Phone Call-,N
321,1526695097-345281876547655,11.0,Phone Call-,
322,1526695098-345281886547656,3.0,Phone Call-,
323,1526695099-345281896547657,3.0,Phone Call-,
324,1526695100-345281906547658,3.0,Phone Call-,
325,1526695101-345281916547659,3.0,Phone Call-,
326,1526695102-345281926547660,3.6,Phone Call-,
327,1526695103-345281936547661,3.5,Phone Call-,
328,1526695104-345281946547662,3.2,Phone Call-,
329,1526695105-345281956547663,3.1,Phone Call-,
330,1526695106-345281966547664,4.2,Phone Call-,
331,1526695107-345281976547665,4.3,Phone Call-,N
332,1526695108-345281986547666,4.5,Phone Call-,
333,1526695109-345281996547667,2.0,Phone Call-111,
334,1526695110-345282006547668,3.0,Phone Call-111,
335,1526695111-345282016547669,10.0,Phone Call-,
336,1526695112-345282026547670,15.0,Phone Call-,
337,1526695113-345282036547671,15.0,Phone Call-,
338,1526695114-345282046547672,18.0,Phone Call-,
339,1526695115-345282056547673,1.0,Phone Call-111,
340,1526695116-345282066547674,13.0,Phone Call-,
341,1526695117-345282076547675,11.0,Phone Call-,
342,1526695118-345282086547676,1.0,Phone Call-,
343,1526695119-345282096547677,15.0,Phone Call-,
344,1526695120-345282106547678,55.0,Phone Call-,
345,1526695121-345282116547679,120.0,Phone Call-,
346,1526695122-345282126547680,14.0,Phone Call-,
347,1526695123-345282136547681,13.0,Phone Call-,
348,1526695124-345282146547682,10.0,Phone Call-,
349,1526695125-345282156547683,14.0,Phone Call-,
350,1526695126-345282166547684,13.0,Phone Call-,
351,1526695127-345282176547685,10.0,Phone Call-,N
352,1526695128-345282186547686,14.0,Phone Call-,
353,1526695129-345282196547687,13.0,Phone Call-,
354,1526695130-345282206547688,10.0,Phone Call-,
355,1526695131-345282216547689,14.0,Phone Call-,
356,1526695132-345282226547690,13.0,Internet Data-,
357,1526695133-345282236547691,10.0,Internet Data-,
358,1526695134-345282246547692,14.0,Internet Data-,
359,1526695135-345282256547693,13.0,Internet Data-,
360,1526695136-345282266547694,10.0,Internet Data-,
361,1526695137-345282276547695,14.0,Internet Data-,
362,1526695138-345282286547696,13.0,Internet Data-,
363,1526695139-345282296547697,10.0,Internet Data-,
